lat	lon	sza	on2	doy	points	d_lat	d_lon	ut	day	month	year	orbit
-89.117645	353.82352	0.0	0.2044163	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	355.58823	0.0	0.20159313	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	357.35294	0.0	0.19911256	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-89.117645	359.11765	0.0	0.19693097	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	43.235294	69.25561	0.29953805	001	2566	1.7647059	1.7647059	-0.21529007	1	1	2005	16602
-87.35294	45.0	68.834625	0.56718874	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	46.764706	69.06378	0.20182839	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	48.52941	68.97792	0.12597576	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	50.294117	68.91171	0.30227724	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	52.058823	68.97204	0.37588528	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	53.82353	68.42852	0.23736611	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	55.588234	0.0	0.4535313	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	57.35294	0.0	0.4392211	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	59.117645	0.0	0.4262958	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	60.882355	0.0	0.31253812	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	62.64706	0.0	0.3010591	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	64.411766	0.0	0.29025003	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	66.17647	0.0	0.2801744	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
